John Cobb,Representative,Calare,New South Wales,The Nationals,,John_Cobb_(Australian_politician),
John Faulkner,Senator,,New South Wales,Australian Labor Party,Life Gold Pass Holder,John_Faulkner,
John Hogg,Senator,,Queensland,Australian Labor Party,Life Gold Pass Holder,John_Hogg,
John Howard,Representative,Bennelong,New South Wales,Liberal Party of Australia,Former Prime Minister,John_Howard,
John Madigan,Senator,,Victoria,Independent,Post Retirement Traveller,John_Madigan_(Australian_politician),
John McVeigh,Representative,Groom,Queensland,Liberal Party of Australia,,John_McVeigh_(politician),125865
John Williams,Senator,,New South Wales,The Nationals,,John_Williams,I0V
Jonathon Duniam,Senator,,Tasmania,Liberal Party of Australia,,Jonathon_Duniam,263418
Josh Frydenberg,Representative,Kooyong,Victoria,Liberal Party of Australia,,Josh_Frydenberg,FKL
Josh Wilson,Representative,Fremantle,Western Australia,Australian Labor Party,,Josh_Wilson_(politician),265970
Judi Moylan,Representative,Pearce,Western Australia,Liberal Party of Australia,Life Gold Pass Holder,Judi_Moylan,
Julia Banks,Representative,Chisholm,Victoria,Liberal Party of Australia,,Julia_Banks,18661
Julia Gillard,Representative,Lalor,Victoria,Australian Labor Party,Former Prime Minister,Julia_Gillard,
Julian Hill,Representative,Bruce,Victoria,Australian Labor Party,,Julian_Hill,86256
Julian Leeser,Representative,Berowra,New South Wales,Liberal Party of Australia,,Julian_Leeser,109556
Julie Bishop,Representative,Curtin,Western Australia,Liberal Party of Australia,,Julie_Bishop,83P
Julie Collins,Representative,Franklin,Tasmania,Australian Labor Party,,Julie_Collins,HWM
Julie Owens,Representative,Parramatta,New South Wales,Australian Labor Party,,Julie_Owens,E09
Justine Elliot,Representative,Richmond,New South Wales,Australian Labor Party,,Justine_Elliot,DZW
Justine Keay,Representative,Braddon,Tasmania,Australian Labor Party,,Justine_Keay,262273
Karen Andrews,Representative,McPherson,Queensland,Liberal Party of Australia,,Karen_Andrews,230886
Karen McNamara,Representative,Dobell,New South Wales,Liberal Party of Australia,Post Retirement Traveller,Karen_McNamara,
Kate Ellis,Representative,Adelaide,South Australia,Australian Labor Party,,Kate_Ellis,DZU
Kate Lundy,Senator,,Australian Capital Territory,Australian Labor Party,Life Gold Pass Holder,Kate_Lundy,
Katy Gallagher,Senator,,Australian Capital Territory,Australian Labor Party,,Katy_Gallagher,ING
Keith Pitt,Representative,Hinkler,Queensland,The Nationals,,Keith_Pitt,148150
Kelly O'Dwyer,Representative,Higgins,Victoria,Liberal Party of Australia,,Kelly_O'Dwyer,
Kelvin Thomson,Representative,Wills,Victoria,Australian Labor Party,Life Gold Pass Holder,Kelvin_Thomson,
Ken O'Dowd,Representative,Flynn,Queensland,The Nationals,,Ken_O'Dowd,
Ken Wyatt,Representative,Hasluck,Western Australia,Liberal Party of Australia,,Ken_Wyatt,M3A
Kerry Sibraa,Senator,,New South Wales,Australian Labor Party,Life Gold Pass Holder,Kerry_Sibraa,
Kevin Andrews,Representative,Menzies,Victoria,Liberal Party of Australia,,Kevin_Andrews_(Australian_politician),HK5
Kevin Hogan,Representative,Page,New South Wales,The Nationals,,Kevin_Hogan,218019
Kevin Rudd,Representative,Griffith,Queensland,Australian Labor Party,Former Prime Minister,Kevin_Rudd,
Kim Carr,Senator,,Victoria,Australian Labor Party,,Kim_Carr,AW5
Kimberley Kitching,Senator,,Victoria,Australian Labor Party,,Kimberley_Kitching,247512
Larissa Waters,Senator,,Queensland,Australian Greens,,Larissa_Waters,
Laurie Brereton,Representative,Kingsford Smith,New South Wales,Australian Labor Party,Life Gold Pass Holder,Laurie_Brereton,
Laurie Ferguson,Representative,Werriwa,New South Wales,Australian Labor Party,Life Gold Pass Holder,Laurie_Ferguson,
Lee Rhiannon,Senator,,New South Wales,Australian Greens,,Lee_Rhiannon,CPR
Linda Burney,Representative,Barton,New South Wales,Australian Labor Party,,Linda_Burney,8GH
Linda Reynolds,Senator,,Western Australia,Liberal Party of Australia,,Linda_Reynolds,250216
Lisa Chesters,Representative,Bendigo,Victoria,Australian Labor Party,,Lisa_Chesters,249710
Lisa Singh,Senator,,Tasmania,Australian Labor Party,,Lisa_Singh,M0R
Llew O'Brien,Representative,Wide Bay,Queensland,The Nationals,,Llew_O'Brien,
Louise Markus,Representative,Macquarie,New South Wales,Liberal Party of Australia,Post Retirement Traveller,Louise_Markus,
Louise Pratt,Senator,,Western Australia,Australian Labor Party,,Louise_Pratt,I0T
Lucy Wicks,Representative,Robertson,New South Wales,Liberal Party of Australia,,Lucy_Wicks_(Australian_politician),241590
Luke Gosling,Representative,Solomon,Northern Territory,Australian Labor Party,,Luke_Gosling,245392
Luke Hartsuyker,Representative,Cowper,New South Wales,The Nationals,,Luke_Hartsuyker,00AMM
Luke Howarth,Representative,Petrie,Queensland,Liberal Party of Australia,,Luke_Howarth,247742
Luke Simpkins,Representative,Cowan,Western Australia,Liberal Party of Australia,Post Retirement Traveller,Luke_Simpkins,
Madeleine King,Representative,Brand,Western Australia,Australian Labor Party,,Madeleine_King,102376
Mal Brough,Representative,Longman,Queensland,Liberal Party of Australia,Life Gold Pass Holder,Mal_Brough,
Malarndirri McCarthy,Senator,,Northern Territory,Australian Labor Party,,Malarndirri_McCarthy,122087
Malcolm Roberts,Senator,,Queensland,Pauline Hanson's One Nation,,Malcolm_Roberts,
