"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 27 Oct 16","","","","500.00","27-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 28 Oct 16","","","","500.00","28-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","Distribution late payment fee Nov 16","","","","15.00","01-Jul-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","Distribution 1 Nov to 30 Nov 16","","","","297.32","30-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1,000 Personalised letterhead stationery 2 Nov 16","","","","300.00","02-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","2,000 Personalised letterhead stationery 2 Nov 16","","","","140.00","02-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","3,500 Personalised letterhead stationery 2 Nov 16","","","","250.00","02-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","4 Printed items 3 Nov to 24 Nov 16","","","","2,000.00","24-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 3 Nov 16","","","","500.00","03-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 4 Nov 16","","","","400.00","04-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 10 Nov 16","","","","500.00","10-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 11 Nov 16","","","","360.00","11-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1,500 Printed items 16 Nov 16","","","","750.00","16-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 17 Nov 16","","","","78.00","17-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 17 Nov 16","","","","500.00","17-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 18 Nov 16","","","","360.00","18-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 24 Nov 16","","","","500.00","24-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 25 Nov 16","","","","360.00","25-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 1 Dec 16","","","","500.00","01-Dec-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 2 Dec 16","","","","360.00","02-Dec-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1 Printed item 8 Dec 16","","","","500.00","08-Dec-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","750 Printed items 9 Dec 16","","","","2,210.00","09-Dec-2016"
