"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date","Date From","Date To","Location","Nights","Rate","Spouse"
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","8 Cooma Express 8 Feb to 6 Mar 16","11.64","06-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 8 Feb to 6 Mar 16","10.91","06-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Narooma News 8 Feb to 6 Mar 16","5.82","06-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Economist 29 Feb to 27 Mar 16","40.00","27-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 The Queanbeyan Age 29 Feb to 27 Mar 16","5.09","27-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Australian 29 Feb to 27 Mar 16","46.91","27-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Canberra Times 29 Feb to 27 Mar 16","39.09","27-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Sydney Morning Herald 29 Feb to 27 Mar 16","45.45","27-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 29 Feb to 27 Mar 16","4.65","27-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 The Land 29 Feb to 27 Mar 16","13.82","27-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Daily Telegraph 29 Feb to 27 Mar 16","27.27","27-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Bombala Times 7 Mar to 3 Apr 16","5.82","03-Apr-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Magnet 7 Mar to 3 Apr 16","5.82","03-Apr-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Merimbula News Weekly 7 Mar to 3 Apr 16","5.82","03-Apr-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Narooma News 7 Mar to 3 Apr 16","5.82","03-Apr-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","7 Bay Post 7 Mar to 3 Apr 16","10.18","03-Apr-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","8 Bega District News 7 Mar to 3 Apr 16","11.64","03-Apr-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","8 Cooma Express 7 Mar to 3 Apr 16","11.64","03-Apr-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 7 Mar to 3 Apr 16","10.64","03-Apr-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","5 The Queanbeyan Age 28 Mar to 1 May 16","6.36","01-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","5 Economist 28 Mar to 1 May 16","50.00","01-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","25 The Daily Telegraph 28 Mar to 1 May 16","34.09","01-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","25 The Canberra Times 28 Mar to 1 May 16","50.00","01-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","25 The Australian 28 Mar to 1 May 16","59.36","01-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","5 The Land 28 Mar to 1 May 16","17.27","01-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","25 The Sydney Morning Herald 28 Mar to 1 May 16","56.82","01-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 28 Mar to 1 May 16","6.73","01-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","5 Narooma News 4 Apr to 8 May 16","7.27","08-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","10 Cooma Express 4 Apr to 8 May 16","14.55","08-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","10 Bega District News 4 Apr to 8 May 16","14.55","08-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","5 Bombala Times 4 Apr to 8 May 16","7.27","08-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 4 Apr to 8 May 16","10.91","08-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","5 Magnet 4 Apr to 8 May 16","7.27","08-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","5 Merimbula News Weekly 4 Apr to 8 May 16","7.27","08-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 The Queanbeyan Age 2 May to 29 May 16","5.09","29-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Economist 2 May to 29 May 16","40.00","29-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Sydney Morning Herald 2 May to 29 May 16","45.45","29-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Daily Telegraph 2 May to 29 May 16","27.27","29-May-2016","","","","","",""
