"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Adelaide to Melbourne","","","821.27","08-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Melbourne to Canberra","","","751.97","15-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Canberra to Sydney","","","554.99","15-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Sydney to Melbourne","","","768.76","15-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Mar 17 - Melbourne to Canberra","","","637.91","20-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Canberra to Melbourne","","","751.97","23-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","8 Dec 16 - Melbourne to Sydney","","","756.04","08-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","8 Dec 16 - Sydney to Melbourne","","","814.95","08-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Melbourne to Sydney","","","756.04","12-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","13 Dec 16 - Sydney to Canberra","","","121.30","13-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","13 Dec 16 - Canberra to Melbourne","","","637.91","13-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 5 Jan to 4 Feb 17","","","1,081.43","04-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 24 Jan to 23 Feb 17","","","905.00","23-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 3 Feb to 24 Feb 17","","","143.81","24-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 5 Feb to 4 Mar 17","","","1,081.43","04-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 5 Dec 16 to 4 Jan 17","","","1,081.43","05-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 7 Dec to 15 Dec 16","","","126.54","15-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 24 Dec 16 to 23 Jan 17","","","905.00","24-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 30 Dec 16 to 28 Jan 17","","","133.99","30-Dec-2016","",""
