"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","2,820.05","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","18,356.49","01-Jan-1900","OS Ministerial - Fares",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","1,089.18","01-Jan-1900","OS Ministerial - Ground transport",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","315.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","234.06","01-Jan-1900","OS Ministerial - Travel advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","430.00","01-Jan-1900","OS Ministerial - Equipment allowance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","43,272.96","01-Jan-1900","OS Ministerial - Fares",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","252.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","481.86","01-Jan-1900","OS Ministerial - Travel advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Jan 17 - Perth to Melbourne","","","1,817.95","09-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Jan 17 - Melbourne to Sydney","","","756.04","09-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Jan 17 - Sydney to Perth","","","2,071.52","10-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Jan 17 - Perth to Sydney","","","2,071.52","14-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Jan 17 - Sydney to Perth","","","2,071.52","15-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Sydney to Perth","","","1,932.32","02-Feb-2017","",""
