"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Canberra","","","80.40","12-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","15 Feb 17 - Canberra","","","40.00","15-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","16 Feb 17 - Brisbane","","","141.00","16-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Brisbane","","","100.00","22-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Sydney","","","54.90","22-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Sydney","","","121.49","22-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Brisbane","","","100.00","22-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","26 Feb 17 - Brisbane","","","124.45","26-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Brisbane","","","134.45","07-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Adelaide","","","41.80","07-Mar-2017","",""
