"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Mount Dandenong to Canberra 8 Nov 15","","","","7.90","08-Nov-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Mount Dandenong 13 Nov 15","","","","7.90","13-Nov-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Mount Dandenong to Canberra 22 Nov 15","","","","7.90","22-Nov-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Mount Dandenong 6 Dec 15","","","","7.90","06-Dec-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Canberra","","","","103.60","07-Feb-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Canberra","","","","103.60","07-Feb-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 January 2016","","","","Aggregated Total","","","","54,421.77","01-Jan-1900"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 January 2016","","","","Aggregated Total","","","","11,503.54","01-Jan-1900"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Office requisites and stationery 1 Jan to 31 Jan 16","","","","2,509.15","31-Jan-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Colour copy charge 28 Jan to 27 Feb 16","","","","266.05","27-Feb-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 16","","","","6.12","27-Feb-2016"
