"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Sydney 4 Dec 15","","","","213.60","04-Dec-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2016","","","","Aggregated Total","","","","90,428.69","01-Jan-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2016","","","","Aggregated Total","","","","4,373.36","01-Jan-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Colour copy charge 28 Jan to 27 Feb 16","","","","34.08","27-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 16","","","","3.28","27-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Colour copy charge 28 Feb to 27 Mar 16","","","","71.75","27-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Monochrome copy charge 28 Feb to 27 Mar 16","","","","13.13","27-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Office requisites and stationery 1 Mar to 31 Mar 16","","","","832.50","31-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Flags 1 Mar to 31 Mar 16","","","","1,507.00","31-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Colour copy charge 28 Mar to 27 Apr 16","","","","121.59","27-Apr-2016"
