"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Adelaide","","","","485.00","18-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Mar 16 - Adelaide to Canberra","","","","834.00","29-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","30 Mar 16 - Canberra to Melbourne","","","","778.37","30-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","30 Mar 16 - Melbourne to Adelaide","","","","","30-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Apr 16 - Adelaide to Sydney","","","","938.95","01-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Apr 16 - Sydney to Adelaide","","","","938.95","01-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Apr 16 - Adelaide to Whyalla","","","","247.99","05-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Apr 16 - Whyalla to Adelaide","","","","1,076.46","05-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Apr 16 - Adelaide to Canberra","","","","","05-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Apr 16 - Canberra to Sydney","","","","904.56","07-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Apr 16 - Sydney to Adelaide","","","","845.59","07-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Adelaide to Canberra","","","","769.46","17-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Apr 16 - Canberra to Sydney","","","","328.20","22-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Apr 16 - Sydney to Adelaide","","","","938.95","22-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Apr 16 - Adelaide to Canberra","","","","834.00","26-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Apr 16 - Canberra to Melbourne","","","","842.44","27-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Apr 16 - Melbourne to Adelaide","","","","","27-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Adelaide to Canberra","","","","485.00","01-May-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 May 16 - Canberra to Melbourne","","","","783.19","07-May-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 May 16 - Melbourne to Adelaide","","","","","07-May-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 May 16 - Adelaide to Canberra","","","","858.05","16-May-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 May 16 - Canberra to Adelaide","","","","858.05","16-May-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","24 May 16 - Adelaide to Sydney","","","","845.59","24-May-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","24 May 16 - Sydney to Griffith","","","","439.00","24-May-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 May 16 - Melbourne to Adelaide","","","","774.58","26-May-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Jun 16 - Adelaide to Port Augusta","","","","240.75","06-Jun-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Jun 16 - Port Lincoln to Adelaide","","","","251.57","08-Jun-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Jun 16 - Adelaide to Port Lincoln","","","","371.75","23-Jun-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Jun 16 - Port Lincoln to Adelaide","","","","371.75","23-Jun-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","20 Dec 15 - Adelaide to Melbourne","","","","741.17","20-Dec-2015","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","21 Dec 15 - Melbourne to Adelaide","","","","741.17","21-Dec-2015","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","21 Jan 16 - Adelaide","","","","40.00","21-Jan-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","27 Jan 16 - Adelaide","","","","40.00","27-Jan-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","27 Jan 16 - Perth","","","","40.00","27-Jan-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","28 Jan 16 - Perth","","","","40.00","28-Jan-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","29 Jan 16 - Perth","","","","40.00","29-Jan-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","29 Jan 16 - Perth","","","","40.00","29-Jan-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","29 Jan 16 - Perth","","","","40.00","29-Jan-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","30 Jan 16 - Perth","","","","78.60","30-Jan-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","30 Jan 16 - Adelaide","","","","80.40","30-Jan-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","31 Jan 16 - Adelaide","","","","78.60","31-Jan-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","4 Feb 16 - Canberra","","","","78.60","04-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","5 Feb 16 - Canberra","","","","40.00","05-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","5 Feb 16 - Adelaide","","","","41.80","05-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","6 Feb 16 - Adelaide","","","","78.60","06-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","6 Feb 16 - Canberra","","","","164.35","06-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","6 Feb 16 - Canberra","","","","103.60","06-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Canberra","","","","78.60","07-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Canberra","","","","78.60","07-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Canberra","","","","103.60","07-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Canberra","","","","103.60","07-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Canberra","","","","103.60","07-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","12 Feb 16 - Sydney","","","","53.50","12-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","12 Feb 16 - Sydney","","","","53.27","12-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","12 Feb 16 - Adelaide","","","","41.80","12-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","15 Feb 16 - Adelaide","","","","40.00","15-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","15 Feb 16 - Melbourne","","","","82.80","15-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","15 Feb 16 - Melbourne","","","","47.63","15-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","15 Feb 16 - Adelaide","","","","41.80","15-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","16 Feb 16 - Adelaide","","","","40.00","16-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","16 Feb 16 - Adelaide","","","","41.80","16-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","18 Feb 16 - Adelaide","","","","40.00","18-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","18 Feb 16 - Melbourne","","","","84.97","18-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","18 Feb 16 - Melbourne","","","","60.70","18-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","18 Feb 16 - Canberra","","","","60.75","18-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","19 Feb 16 - Canberra","","","","40.00","19-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","19 Feb 16 - Canberra","","","","40.00","19-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","19 Feb 16 - Adelaide","","","","41.80","19-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","21 Feb 16 - Adelaide","","","","78.60","21-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","23 Feb 16 - Canberra","","","","40.00","23-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","26 Feb 16 - Melbourne","","","","47.01","26-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","26 Feb 16 - Melbourne","","","","46.32","26-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","26 Feb 16 - Adelaide","","","","47.65","26-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","28 Feb 16 - Adelaide","","","","78.60","28-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","1 Mar 16 - Canberra","","","","45.85","01-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","2 Mar 16 - Canberra","","","","57.64","02-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","9 Mar 16 - Adelaide","","","","40.00","09-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","9 Mar 16 - Sydney","","","","49.70","09-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","10 Mar 16 - Sydney","","","","40.00","10-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","10 Mar 16 - Sydney","","","","55.02","10-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","10 Mar 16 - Adelaide","","","","41.80","10-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","14 Mar 16 - Adelaide","","","","78.60","14-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","18 Mar 16 - Adelaide","","","","41.80","18-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","29 Mar 16 - Adelaide","","","","40.00","29-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","29 Mar 16 - Canberra","","","","41.80","29-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","30 Mar 16 - Canberra","","","","40.00","30-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","30 Mar 16 - Canberra","","","","40.00","30-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","30 Mar 16 - Adelaide","","","","41.80","30-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","1 Apr 16 - Adelaide","","","","40.00","01-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","1 Apr 16 - Sydney","","","","154.35","01-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","1 Apr 16 - Sydney","","","","159.82","01-Apr-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","1 Apr 16 - Adelaide","","","","41.80","01-Apr-2016","",""
